FlightId,FlightSource,FlightDest,FlightDate,FlightSeat,TicketCost
92,Candijay,Karanggeneng,2022-01-30 08:19:57,2,5
93,Boro,Dampit Satu,2021-10-04 06:35:03,2,75
94,Vievis,Gordeyevka,2021-11-17 15:37:25,18,93
95,Shkodër,Mount Pearl,2021-04-17 04:43:32,75,82
96,Övertorneå,Reims,2021-03-03 05:22:11,47,24
97,Hongyuan,Qingyang,2021-08-06 03:26:15,1,61
98,Esperanza,Jingzhuang,2021-01-16 13:03:18,71,41
99,Zagórów,Sanfins,2021-02-22 10:11:19,82,31
100,Kromasan,Baiima,2021-03-30 10:20:16,75,49
101,Saint-Cloud,Tarikolot,2021-12-15 07:45:01,84,60
102,Soukkouma,Taihe,2022-01-22 02:52:16,9,18
103,Mariestad,Karlskoga,2021-03-30 07:53:36,78,86
104,Orange Walk,Oslo,2021-03-06 08:01:34,27,17
105,Gibgos,Nanggewer,2021-09-03 17:41:28,42,57
106,San Vicente,Villa María,2022-01-25 21:46:47,68,22
107,Tonoshō,Barakani,2021-08-04 14:01:09,93,28
108,Changmao,Bengtsfors,2021-05-04 22:07:51,99,7
109,Novorossiysk,Emmaboda,2021-07-17 03:41:56,6,48
110,Pipa,Yevlakh,2021-01-14 12:54:47,9,37
111,Dedenëvo,Olavarría,2021-07-25 16:43:26,89,91
112,Sopla,Plumbangan,2021-11-02 10:52:49,13,4
113,Quesada,Barisāl,2021-12-24 21:37:52,3,30
114,Zuénoula,Tân Trụ,2021-08-22 16:54:22,2,5
115,Dahua,Circa,2021-11-07 01:13:18,74,25
116,Riosucio,Raciążek,2022-01-13 02:27:34,83,82
117,Evansville,Rabak,2021-05-18 23:06:35,16,7
118,Hitura,Atbasar,2021-09-14 16:54:25,39,17
119,Крива Паланка,Murovanoye,2022-01-12 19:55:45,19,76
120,Cinunjang,Ciénega,2021-01-19 13:16:40,67,53
121,Sneek,Menuma,2022-01-14 15:33:14,43,75
122,Caen,Monte Redondo,2021-05-01 05:59:50,40,70
123,Sławatycze,Shidu,2021-07-01 15:44:48,21,95
124,Göteborg,Sheksna,2021-03-15 23:20:56,29,35
125,Capinzal,Eschweiler,2021-11-30 23:12:45,27,71
126,Pagak Kulon,Unisław,2021-01-13 03:28:25,92,88
127,Tangzhai,Vaitape,2021-12-11 08:39:46,82,78
128,Gexi,Baishuitan,2022-01-29 19:39:57,60,4
129,Arevik,Kapakabisa,2021-01-12 12:34:12,100,95
130,Houston,Donnycarney,2021-06-21 13:02:40,83,46
131,Rancharia,Auch,2021-08-18 16:52:20,40,31
132,Şalākhid,Río Viejo,2021-03-27 21:30:34,85,46
133,Temirgoyevskaya,Sulop,2021-10-03 17:40:44,86,51
134,Bagahanlad,Olofström,2021-05-17 13:04:21,11,47
135,Delães,Banjarejo,2021-09-16 13:09:22,93,94
136,Washington,Nanxiang,2021-02-18 00:07:01,3,87
137,Bella Vista,Courbevoie,2021-06-19 00:19:55,26,77
138,Hagerstown,Dishnā,2021-12-22 04:10:58,81,18
139,Otterburn Park,Amberd,2021-12-29 19:32:06,43,43
140,Vazhiny,Xinmin,2021-06-13 15:31:07,22,38
141,New Orleans,Luoting,2021-02-09 19:49:07,67,94
142,Auna,Bintawan,2022-01-14 02:07:48,88,79
143,São Miguel de Machede,Yangqing,2021-03-17 14:16:09,92,52
144,San Cristobal,Sharan,2021-09-17 19:14:47,47,14
145,Maluanluan,Yege,2021-10-06 11:22:40,84,60
146,Bertioga,Zapatero,2021-06-04 10:18:38,62,77
147,Songshan,Apitong,2022-01-24 06:46:02,48,71
148,Mjölby,San Ricardo,2021-09-03 10:39:56,41,31
149,Tarauacá,Sagae,2021-02-16 04:35:42,12,60
150,San Carlos,Priyutovo,2021-07-31 10:27:36,86,43
151,Fovissste,Blagoveshchensk,2022-01-18 04:04:58,42,62
152,Luts’k,Saint Andrews,2021-08-27 21:58:38,19,70
153,Karlskoga,Pasrukrajan Satu,2021-12-15 23:45:15,33,58
154,Mogapinyana,Cigaluh,2021-09-12 16:11:43,8,73
155,Dalubian,Pokrzywnica,2021-03-03 09:42:40,68,71
156,Sémé,Olho Marinho,2022-01-13 01:28:17,32,36
157,Wudui,Nōgata,2021-10-21 23:25:33,82,13
158,Akankpa,Mongu,2022-01-09 11:58:11,93,3
159,Nanggorak,Kalepasan,2021-12-20 14:22:56,83,10
160,Bajiazi,Vaitape,2021-04-12 16:04:53,91,71
161,Lobitos,Vale das Mós,2021-02-14 21:34:30,17,47
162,Anápolis,Lapachito,2022-01-17 11:33:13,28,44
163,Puerto Obaldía,Fundación,2021-03-20 05:33:41,24,31
164,Mulhouse,Ashiya,2021-10-12 22:17:18,51,70
165,Cuntan,Osh,2021-12-24 09:06:49,58,92
166,Purda,Smečno,2021-10-17 14:41:05,93,2
167,Kuala Lumpur,Ishii,2021-03-24 20:43:48,24,14
168,San Silvestre,La Sarrosa,2021-10-22 18:54:20,23,50
169,Xiumei,Västerås,2021-01-24 09:49:51,23,80
170,Odessa,Créteil,2021-03-09 17:31:01,58,8
171,Bonao,Navotas,2021-11-30 22:24:52,35,22
172,Boundiali,Puerto Madryn,2021-12-12 23:56:15,36,56
173,Sangiyn Dalay,La Esperanza,2021-11-07 22:54:41,100,78
174,'s-Hertogenbosch,Kommunar,2021-07-13 08:58:45,10,84
175,Santa Isabel,Xujia,2021-12-19 08:56:19,71,58
176,Serzedo,Grosuplje,2021-09-01 06:56:49,61,40
177,Hamburg,Ganja,2021-09-30 06:47:04,25,43
178,Lewograran,Palilula,2021-11-07 22:28:39,20,67
179,Kohtla-Järve,Sanjiazi,2021-11-23 02:07:47,74,13
180,Brikcha,Karangpocok,2021-01-27 20:23:43,2,21
181,Sokołów Podlaski,Totok,2021-07-12 08:26:27,72,73
182,Duanshen,Sanhui,2021-05-13 20:50:41,20,9
183,Santa Cruz de Guacas,Potrerillos Arriba,2021-05-09 11:34:14,2,81
184,Wilkowice,Moulins,2021-11-19 19:45:24,96,26
185,El Ingenio,Gandorhun,2021-09-23 23:20:10,43,80
186,Aki,Dunaivtsi,2021-04-14 06:40:34,7,80
187,Al Hilāliyya,Fundación,2021-07-04 09:44:41,3,43
188,Soissons,Kota Bharu,2021-12-16 01:51:50,31,8
189,Sindangkerta,Saint-Grégoire,2021-03-23 06:06:27,29,85
190,Krasyliv,Takahata,2021-10-06 07:34:06,46,13
191,Yongledian,Samayac,2021-05-20 14:28:59,1,12
192,Embu,Jacutinga,2021-01-21 02:58:07,40,16
193,Benguela,Aix-en-Provence,2021-07-03 13:38:25,20,92
194,El Benque,Hujiagou,2021-04-22 06:28:28,68,86
195,Al ‘Azīzīyah,Bonga,2021-11-10 15:06:54,37,4
196,Muarapinang,Góra,2021-09-24 23:29:46,21,65
197,Papatowai,Mianay,2021-02-24 06:59:16,8,17
198,Sukamaju Kidul,Placer,2021-04-09 21:05:08,64,100
199,Sayaxché,Naranjal,2021-02-15 02:40:29,84,45
200,Ganjaran,Kondinskoye,2021-06-13 01:06:40,52,54
201,Ijūin,Eksjö,2021-07-10 11:18:54,42,20
202,Tongren,Piúma,2021-10-08 11:34:53,32,81
203,Takikawa,Lexington,2021-09-04 04:19:25,55,57
204,Agara,Demyansk,2021-11-15 16:25:06,39,97
205,Guyang,Cuito,2021-05-17 11:23:23,19,13
206,Cabano,Jalal-Abad,2021-12-23 10:18:53,20,88
207,Weifang,Korosten’,2021-11-11 03:34:11,73,75
208,Tsagaan-Olom,Al Mazzūnah,2021-07-05 21:21:19,55,60
209,Hohoe,Santa Maria,2021-07-02 07:33:59,46,81
210,Lâm Thao,Xinpu,2021-03-29 16:31:26,90,76
211,Smach Mean Chey,Askim,2021-10-23 01:21:28,73,87
212,Jevišovice,Firavitoba,2022-01-17 03:23:41,12,71
213,Paokmotong Utara,Blagoevgrad,2021-10-08 05:25:49,17,74
214,Xubu,Niugan,2021-02-26 19:38:30,78,14
215,Enköping,Muyi,2021-08-28 07:49:37,67,90
216,Angered,Subrag,2021-02-26 02:41:30,27,14
217,Wonorejo,Bucheon-si,2021-06-07 18:19:56,80,38
218,Moutsamoudou,Santa Maria,2021-12-06 03:38:18,10,40
219,Porto União,Laprida,2021-09-14 20:40:43,51,20
220,Phatthalung,Pitalito,2021-06-27 08:04:42,40,17
221,Lat Yao,Guanyinge,2021-10-10 12:58:22,23,99
222,Strömsnäsbruk,Klyuchevsk,2021-07-28 08:22:44,5,86
223,Burgaltay,Hohoe,2021-03-31 19:02:27,75,73
224,Beringin,Jubb Ramlah,2021-07-12 11:16:37,73,25
225,Sanxing,Har-Us,2021-02-26 21:47:39,36,73
226,Nybro,Uujim,2021-12-01 08:45:43,28,91
227,Washington,Dzuunmod,2021-04-07 15:39:02,83,67
228,Pamotan,Hartford,2021-11-20 13:48:54,92,57
229,Petite Rivière de Nippes,Santa Venera,2021-08-31 21:42:35,95,83
230,Alicia,Sukolilo,2021-09-14 15:38:28,50,9
231,Quzi,Hengjing,2021-02-19 23:58:22,83,51
232,Xiying,Gwanda,2021-03-27 03:06:03,51,58
233,Bagé,Runting,2021-09-30 23:57:11,50,99
234,Drásov,Xiadong,2021-03-09 00:22:13,20,97
235,Sendangrejo,Wentai,2021-06-25 01:04:13,73,62
236,Olafulihaa,Níkiti,2021-10-14 19:30:44,42,100
237,Cikaduen,Balbagay,2021-08-04 15:00:05,81,47
238,Debre Zeyit,Jabungsisir,2021-01-19 07:32:44,45,2
239,Jingxi,Mutengene,2021-02-07 03:02:47,42,46
240,Damiao,Seiça,2022-01-01 00:01:47,72,81
241,Zheleznogorsk-Ilimskiy,Ajman,2021-12-27 16:53:14,1,83
242,San Rafael,Nýdek,2021-02-28 01:24:52,95,29
243,Xiangrong,Bacnotan,2021-07-27 17:21:43,23,54
244,Issoire,Bungsuan,2021-04-22 18:32:41,48,8
245,Druju,Mangere,2021-02-07 15:11:42,77,42
246,Wuyo,Dijon,2021-11-21 23:19:17,28,91
247,Xiguantun Muguzu Manzuxiang,Gongqiao,2021-12-20 17:19:39,44,95
248,Clichy,Kemil,2021-12-20 11:23:26,23,12
249,Liulin,Ma Đa Gui,2021-11-24 23:15:15,97,21
250,Ornontowice,Rogachëvo,2021-11-03 00:52:40,4,48
251,Olafulihaa,Parbatipur,2021-07-23 05:31:18,17,95
252,Tuanalepe,Khodasy,2021-08-03 11:36:12,48,61
253,Liaozhong,Pringgoboyo,2021-06-02 16:02:43,75,91
254,Pangradin Satu,Tchintabaraden,2021-05-10 16:26:22,35,69
255,Kiernozia,Fujikawaguchiko,2021-03-22 01:18:00,33,83
256,Leramatang,Amiens,2021-07-06 09:42:21,86,4
257,Yanyang,Kalapadua,2021-07-20 20:20:16,49,69
258,‘Anat al Qadīmah,Lota,2021-12-20 06:07:33,89,82
259,Moju,Ukmerge,2021-05-24 16:57:49,15,87
260,Jamshoro,Al Qaţn,2022-01-30 23:17:47,48,3
261,Ozimek,Matayumtayum,2021-11-02 08:56:08,32,4
262,Comallo,Schellenberg,2021-03-31 02:14:53,70,54
263,Hongqi,Pasonobenu,2021-12-06 20:22:11,2,20
264,Badou,Chifeng,2021-01-29 22:49:39,75,57
265,Orda,Dundrum,2021-04-03 03:53:15,12,40
266,Stari Grad,Fada N'gourma,2021-12-12 11:09:10,96,77
267,Ol’gino,Ochër,2021-01-28 03:02:38,54,9
268,Ranilug,Tokushima-shi,2021-05-17 09:28:27,16,99
269,Rongxing,Pasco,2022-01-15 15:19:47,100,3
270,Colomi,Antigonish,2021-06-20 11:27:59,45,38
271,Žleby,Grevená,2021-12-23 18:55:32,47,80
272,Póvoa do Valado,Lanhas,2022-01-17 06:14:19,42,63
273,Cẩm Phả,Cacheu,2021-01-16 22:51:18,38,36
274,Punta Cana,Capissayan Sur,2021-07-09 06:28:14,93,43
275,Gembu,Oroquieta,2021-11-17 17:30:17,85,30
276,Port Hawkesbury,Poniklá,2021-02-18 07:32:58,20,34
277,Al ‘Azīzīyah,La Ligua,2021-03-10 06:09:05,25,63
278,Le Mans,Porto Seguro,2021-03-26 10:28:06,1,99
279,Ripky,Sievi,2021-09-21 14:43:48,6,22
280,Santa Cruz de Guacas,Anguera,2021-01-17 20:15:36,95,97
281,Norman Wells,Amiens,2021-12-02 19:51:24,88,34
282,Katoro,Jabal os Saraj,2021-12-10 19:06:40,10,49
283,Sepīdān,Oras,2021-11-15 08:35:58,12,35
284,Kisasa,Nart,2021-04-25 20:18:45,16,87
285,Kadubadak,Daqingshan,2022-01-08 17:41:39,100,34
286,Strasbourg,Haixing,2021-07-19 06:41:43,42,61
287,Golmud,Serrana,2021-06-16 12:49:21,5,22
288,San Matías,Sumuranyar,2021-05-07 14:20:59,52,64
289,Taroudant,Sepanjang,2021-08-05 11:07:49,5,31
290,Mqabba,Wichian Buri,2021-04-04 10:16:03,1,74
291,Steinkjer,Leon Postigo,2021-11-12 15:57:50,90,79
292,Tayu,Petaling Jaya,2021-06-24 17:54:21,49,2
293,Yangzhuang,Prusice,2021-10-13 13:28:40,9,80
294,Sovetskoye,Gavarr,2021-11-10 20:38:13,6,68
295,Jadowniki Mokre,Llanera,2021-02-27 22:04:19,49,78
296,Ogōri-shimogō,East Angus,2021-02-27 01:13:39,82,17
297,Şafwá,Oslo,2021-04-14 17:11:29,56,9
298,Taihu,Bethlehem,2021-08-08 15:58:03,12,22
299,Kaliprak,Palana,2021-02-25 02:41:33,76,63
300,Zhenshan,Sing Buri,2021-10-28 17:58:41,33,19
301,Ghormach,Northern Suburbs Mc,2021-11-04 07:25:42,53,43
302,Novhorodka,Kandava,2021-03-11 09:08:18,95,70
303,Bayt Ūlā,Zhenjiang,2021-04-20 13:58:32,47,63
304,Temaiku Village,‘Izrā,2021-06-08 04:55:06,86,96
305,Huesca,Longtang,2021-12-16 10:16:40,59,50
306,Mazatenango,Pizarrete,2021-03-20 15:39:28,31,76
307,Ipoh,Évry,2021-05-19 04:07:48,2,14
308,Escuintla,Lewoeleng,2021-08-01 06:42:03,5,100
309,Kesambilerenkrajan,Rawson,2021-06-21 06:39:38,67,34
310,Shangwuzhuang,Zarqa,2021-05-06 22:13:17,2,6
311,Dolores,Sigma,2021-12-07 01:29:09,27,45
312,Wukeshu,Saint-Péray,2021-11-04 23:48:06,63,19
313,Stenungsund,Quchomo,2021-09-30 10:37:59,56,50
314,Tizgane,Armamar,2021-06-24 04:12:18,1,45
315,Chynadiyovo,Shancheng,2021-06-06 08:45:51,9,43
316,Touba,Semampir,2021-01-27 22:04:32,87,60
317,Sukorejo,Nyanga,2021-05-23 03:03:52,24,27
318,Liudong,Beishan,2021-01-19 00:25:10,63,5
319,Laagri,Pa Phayom,2021-11-22 07:35:19,65,73
320,Acacías,Rathangan,2021-08-15 06:50:15,3,79
321,Cherëmukhovo,Samho-rodongjagu,2021-07-17 14:15:01,9,6
322,Jagabaya Dua,Maxu,2021-06-29 20:06:39,11,35
323,Rafael Hernandez Ochoa,Hualmay,2021-03-17 08:18:55,88,1
324,Guayatá,Naranjal,2021-04-17 21:54:57,76,74
325,Nesterovskaya,Wanglu Kulon,2021-12-05 18:50:32,54,46
326,Matiompong,Mikulovice,2022-01-07 02:11:04,62,20
327,Balindong,Balungkopi,2021-08-13 09:02:33,81,6
328,Margita,Tulsa,2021-09-15 08:43:44,9,29
329,Dar Chabanne,Banfora,2021-04-15 06:41:58,26,89
330,Bulri,Mandapajaya,2021-01-26 12:33:52,76,38
331,Brokopondo,Tarbes,2021-03-21 14:58:40,22,65
332,Sawahbaru,Ciheras,2021-12-31 22:19:38,9,18
333,Wu’erbu Baolige,Casillas,2021-01-13 21:47:40,84,87
334,Batuidu,Dūrā al Qar‘,2021-10-20 00:04:09,68,35
335,Boa Vista,Trhové Sviny,2021-04-02 00:07:33,34,90
336,Staré Křečany,Puconci,2022-01-24 07:05:04,13,21
337,São Bento,Oneop,2021-05-14 03:21:39,88,77
338,Sukmoilang,Weekaka,2021-11-01 01:49:20,2,47
339,Pantubig,Mobai,2021-12-06 18:26:58,50,6
340,Saint John,Hohoe,2021-03-19 21:19:17,11,100
341,Yerazgavors,Nanzamu,2021-06-17 00:57:54,96,53
342,Melun,El Ingenio,2021-05-02 17:47:45,24,81
343,Raša,Liski,2021-12-26 08:00:22,17,85
344,Tuanzhou,Sebasang,2021-05-09 19:41:43,13,16
345,Hekou,Zhengyangshan,2022-01-15 05:19:38,3,2
346,Bucheon-si,Pajala,2021-06-24 00:40:48,19,83
347,Yilkiqi,Maragogi,2021-03-19 14:08:28,38,78
348,Tall Ḩamīs,Jinjia,2021-04-15 03:51:09,13,67
349,Khlong Khuean,El Quetzal,2021-05-07 18:30:49,87,95
350,Jiuchenggong,Qiganjidie,2021-02-26 01:14:58,21,13
351,Ålesund,Sakai-nakajima,2021-07-19 07:30:48,15,19
352,Grębków,Sitrah,2021-06-06 06:54:04,66,92
353,Tomohon,Nangka,2021-09-12 22:14:15,93,70
354,Balma,Gouping,2021-06-18 02:51:02,24,59
355,Sillon,Xinsheng,2021-08-04 11:42:46,79,42
356,'s-Hertogenbosch,Tanza,2021-11-25 03:17:42,39,76
357,Forbach,Shanglian,2021-08-18 14:08:39,48,66
358,Pamotan,Tangba,2021-05-14 16:25:52,66,77
359,Vlachovice,Qırmızı Samux,2021-07-29 17:35:34,69,17
360,Shijiazhuang,Krupka,2021-06-01 08:49:57,55,53
361,Jinjiang,Tikhoretsk,2021-02-28 05:53:56,84,18
362,Koltushi,Parelhas,2021-03-16 04:46:48,51,54
363,Adorjan,Tsuyama,2021-06-20 17:36:12,93,5
364,Gaotang,Ílion,2021-11-11 18:25:04,30,27
365,Huicheng,Vasil’yevskiy Mokh,2021-04-01 23:12:56,2,98
366,Monjarás,Pacaembu,2021-05-10 16:29:07,78,83
367,Kass Wollof,Villa Concepción del Tío,2021-03-13 11:25:05,77,90
368,Nogoonnuur,Остров Пасхи,2021-10-23 19:19:10,31,11
369,L’govskiy,Borås,2021-07-03 04:01:24,64,72
370,Sambiyan,Muranovo,2021-07-03 21:45:57,20,94
371,Nara,Dundrum,2021-02-01 17:00:58,6,54
372,Sadao,Крива Паланка,2021-06-20 18:44:53,96,3
373,Port Colborne,Ambato,2021-11-17 21:46:52,80,78
374,Lameiras,Huangcaotuo,2021-09-23 05:36:08,66,54
375,Huxi,Polje,2021-07-09 02:21:43,72,73
376,Rozivka,Przybyszówka,2021-05-02 01:11:48,100,87
377,Jamshoro,Ban Dan,2021-07-05 03:29:29,51,92
378,Yermolino,Igreja,2021-09-01 21:45:16,89,67
379,Rennes,Buenavista,2021-06-10 02:42:23,2,93
380,Rivera,Resistencia,2021-11-28 12:39:29,38,68
381,Tobias Barreto,Baishi,2021-04-28 02:28:59,26,44
382,Las Palmas,Qanliko’l,2021-01-22 17:48:41,83,27
383,Las Piñas,Moss,2021-08-28 08:48:22,82,76
384,Kalanchak,Sinarwangi,2021-04-10 08:40:37,30,70
385,Três Coroas,Hrvatini,2021-12-04 00:00:45,86,66
386,Wolofeo,Baranoa,2021-03-06 20:58:23,29,11
387,Asunción,Североморск-3,2021-07-12 22:04:10,40,99
388,Tarko-Sale,Iquipi,2021-02-27 21:15:43,8,11
389,Majingklak,Lolayan,2021-08-26 08:38:30,51,71
390,Pucara,Guozhen,2021-08-03 10:11:34,60,6
391,Mathba,Aigínio,2021-12-13 05:56:43,39,73
392,Xingguo,Boneng,2021-10-01 12:00:06,29,62
393,Guinsadan,Ibirité,2022-01-20 17:27:28,45,100
394,Ambovombe,Khvalovo,2021-07-16 21:31:30,94,53
395,Nyíregyháza,Huata,2021-06-20 22:51:04,96,42
396,Sandy Bay,Zhangjia,2021-05-19 00:50:43,87,62
397,Tyszowce,Sikka,2021-10-16 03:37:20,41,31
398,Sousa,Namboongan,2021-12-19 21:04:43,49,5
399,Caaguazú,Tsaghkahovit,2021-09-13 12:51:10,53,82
400,Lhoknga,Fukumitsu,2021-08-16 06:36:45,42,100
401,Punkaharju,Jiacun,2021-12-18 03:11:35,98,19
402,Itapecerica,Jicun,2021-09-09 07:04:45,41,67
403,Berea,Rokitno Szlacheckie,2021-02-16 20:56:12,6,16
404,La Seyne-sur-Mer,Barrancabermeja,2021-02-21 05:27:53,70,53
405,Babakankadu,Strzelin,2021-03-16 23:00:13,57,37
406,El Rosario,Krasnodon,2021-04-19 21:18:21,53,15
407,Xiyang,Dampit,2021-02-19 10:15:29,87,75
408,Chunshui,Burujul,2021-06-07 17:45:16,10,31
409,Voloka,Longtan,2021-12-16 05:07:08,12,85
410,Lethem,Entradas,2021-02-28 14:19:37,80,29
411,Yihe,Niška Banja,2021-07-25 17:19:20,1,10
412,Doug An,Sørvágur,2021-03-22 04:12:35,13,12
413,Ystad,Mabilog,2021-03-10 04:47:35,54,13
414,Santo Tomas,Annan,2021-01-16 08:55:20,92,71
415,Diamante,Banjar Dauhpangkung,2021-12-11 11:55:33,44,94
416,Triteh,Limbangan,2021-05-30 06:29:26,35,76
417,Shorapani,Nordeste,2021-06-15 19:43:38,90,61
418,Pagsañgahan,Starokucherganovka,2021-01-28 14:56:42,36,92
419,Estância,Lusk,2021-11-14 02:36:50,89,28
420,Orikum,Acopiara,2021-11-05 21:25:56,51,89
421,Yanmenguan,Narutochō-mitsuishi,2022-01-09 17:54:11,75,2
422,Shatrovo,Ðà Lạt,2021-03-12 09:04:14,87,32
423,Muyinga,Łużna,2021-05-09 17:24:16,4,15
424,Arivonimamo,Tuofeng,2021-04-14 23:19:01,65,53
425,Sendangwaru,Ljungby,2022-01-21 03:49:43,91,97
426,Vom,Morro do Chapéu,2021-07-11 14:05:46,46,83
427,Calango,El Limón,2021-06-19 17:11:23,70,40
428,Humen,Arkalyk,2021-08-04 08:30:09,22,9
429,Rekovac,Aurora,2021-11-22 01:45:52,66,69
430,Aba,København,2021-12-01 18:01:22,85,32
